1	54	66	86	8	29	51	32	15	-1.0943e+07
2	5.1314	59.267	16.29	83.841	16.756	50.22	99.933	35.541	Inf
3	4.7078	21.366	39.784	33.367	22.96	93.612	68.319	96.211	Inf
4	43.797	94.034	0.58343	61.031	80.108	23.298	93.247	76.326	Inf
5	82.645	57.346	79.258	32.904	22.346	31.239	58.452	82.991	Inf
6	29.046	40.255	86.206	61.474	99.119	20.37	82.721	67.586	Inf
7	24.895	47.579	39.908	59.944	80.052	10.507	82.144	84.109	Inf
8	35.451	43.007	57.224	70.082	74.247	75.788	38.913	42.93	Inf
9	95.634	57.297	84.972	27.635	62.232	58.836	96.347	8.5903	Inf
10	50.05	52.159	9.0166	90.467	88.439	43.899	78.172	14.847	Inf
11	61.982	26.062	44.566	84.4	19.62	30.385	48.329	33.781	Inf
12	79.849	98.749	15.905	23.688	70.224	37.547	97.37	97.231	Inf
13	64.37	86.01	40.188	63.193	98.524	55.948	93.359	72.034	Inf
14	48.404	63.903	88.764	19.874	39.537	99.218	40.235	65.886	Inf
15	90.135	99.538	65.316	10.844	3.6114	61.809	56.714	96.196	Inf
16	74.611	66.252	52.331	25.989	96.199	54.02	3.027	69.631	Inf
17	51.972	5.9031	89.004	33.02	22.97	11.395	31.092	22.843	Inf
18	65.2	6.616	27.543	28.182	88.007	44.433	75.591	60.33	Inf
19	78.327	11.393	97.856	84.86	5.0646	46.62	32.565	63.021	Inf
20	23.03	57.988	60.316	59.988	44.843	3.5423	51.381	40.773	Inf
21	54	66	86	8	29	51	32	15	-1.0943e+07
22	25.389	61.376	35.068	59.173	21.204	50.257	70.125	35.393	Inf
23	6.0868	39.596	52.006	24.56	23.602	82.037	55.562	57.375	Inf
24	46.451	80.664	3.7266	55.541	60.303	35.96	69.282	67.264	Inf
25	74.471	59.821	80.222	24.198	24.995	35.602	52.551	67.161	Inf
26	30.587	42.713	86.191	45.832	96.547	32.964	64.388	43.243	Inf
27	39.055	50.941	47.032	56.803	56.676	13.25	73.817	53.097	Inf
28	38.604	52.741	60.764	52.032	53.033	75.196	38.726	42.642	Inf
29	79.212	57.699	85.094	25.243	60.491	55.473	73.883	10.942	Inf
30	51.966	53.016	27.008	63.389	79.815	46.578	65.287	14.879	Inf
31	58.171	31.409	49.747	48.963	19.942	33.471	43.499	31.872	Inf
32	73.183	85.03	48.176	19.78	64.502	41.936	67.388	76.268	Inf
33	63.893	81.987	46.95	54.735	94.854	54.479	84.685	67.608	Inf
34	50.644	64.865	88.574	16.877	37.403	95.033	37.867	50.462	Inf
35	75.655	93.728	66.178	10.117	8.2681	57.813	50.23	63.534	Inf
36	68.999	66.175	65.133	18.296	83.335	53.893	13.658	60.563	Inf
